committee_name,donor_name,amount,date,candidate_name,race_name
Clean Government Project,Canyon Ridge Investments,23350.06,2025-03-02,Mia Wilson,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Mesa Community Trust,138665.67,2023-04-05,James Smith,Maricopa County Supervisor District 2
Sunrise Civic Action Fund,Valley Healthcare Group,115775.16,2022-06-13,Abigail White,State Treasurer
Neighbors for Better Government,Southwest AgriFund,36767.29,2024-10-29,Isabella Taylor,Phoenix City Council District 4
Vote Integrity Fund,Desert Orchard LLC,53565.65,2023-06-05,Benjamin Johnson,State Senate District 12
Valley Voters Alliance,Frontier Manufacturing Co.,5024.19,2021-12-17,Logan Hall,Governor
Arizona Future Coalition,Canyon Ridge Investments,109989.25,2020-02-03,Charlotte Davis,State House District 7
Citizens for Fair Elections,Gila River Foundation,137685.45,2022-03-14,Isabella Davis,US House District 2
Vote Integrity Fund,Copper Ridge Holdings,34284.66,2025-06-30,Charlotte Harris,Tucson City Council District 1
Bold Arizona Voices,Valley Healthcare Group,40628.75,2023-11-15,Evelyn Thomas,Secretary of State
Neighbors for Better Government,Red Rock Philanthropy,84443.66,2020-04-27,Ava Wilson,Phoenix City Council District 4
Arizona Families First,Pioneer Energy Group,148922.81,2021-03-26,Mia Robinson,US House District 1
Valley Voters Alliance,Copper Ridge Holdings,104655.99,2020-01-20,Olivia Walker,Phoenix City Council District 4
Grand Canyon Progress PAC,Mesa Community Trust,143923.36,2021-01-20,Michael Davis,Governor
Grand Canyon Progress PAC,Desert Tech Partners,21105.56,2025-03-15,Mason Martinez,State Senate District 12
Vote Integrity Fund,Canyon Ridge Investments,100932.26,2022-08-10,Michael Lee,State Treasurer
Clean Government Project,Desert Tech Partners,128806.26,2023-09-16,James Rodriguez,State Treasurer
Sunrise Civic Action Fund,Sunrise Ventures LLC,135870.73,2021-04-02,Daniel Hall,State Treasurer
Protect Arizona Values PAC,Desert Tech Partners,4621.58,2021-11-14,Logan Clark,Phoenix City Council District 4
Desert Shores Coalition,Mesa Community Trust,22560.82,2024-11-13,Charlotte Anderson,US House District 1
Clean Government Project,Red Rock Philanthropy,51755.92,2020-07-28,Elijah Lee,State House District 7
Arizona Future Coalition,Mesa Community Trust,29067.72,2023-12-04,Mason Thompson,State House District 20
Valley Voters Alliance,Canyon Ridge Investments,94880.13,2024-11-01,Noah Anderson,State Senate District 12
Citizens for Fair Elections,Frontier Manufacturing Co.,87793.9,2023-08-20,Abigail Martinez,Pima County Board District 3
Arizona Families First,Sunrise Ventures LLC,51767.0,2024-01-04,Michael Taylor,State House District 20
Valley Voters Alliance,Frontier Manufacturing Co.,68199.88,2020-05-08,Mason Walker,Phoenix City Council District 4
Bold Arizona Voices,Frontier Manufacturing Co.,28174.93,2021-03-16,Olivia Martin,State House District 7
Desert Shores Coalition,Gila River Foundation,37714.42,2021-01-26,Mason Harris,US House District 2
Clean Government Project,Valley Healthcare Group,47789.71,2025-05-02,Noah Lee,Secretary of State
Valley Voters Alliance,Pioneer Energy Group,25226.23,2024-10-08,Daniel Hall,Tucson City Council District 1
Grand Canyon Progress PAC,Horizon Media Group,4554.92,2022-11-20,Elijah White,US Senate
Arizona Future Coalition,Sunrise Ventures LLC,58990.18,2020-02-27,Abigail Harris,Maricopa County Supervisor District 2
Vote Integrity Fund,Blue Sky Developers,85760.24,2020-12-09,Liam White,Attorney General
Vote Integrity Fund,Southwest AgriFund,118567.42,2022-08-20,Mason Smith,State House District 7
Bold Arizona Voices,Blue Sky Developers,65515.03,2025-07-16,Mia Martinez,Pima County Board District 3
Citizens for Fair Elections,Canyon Ridge Investments,49657.04,2021-08-08,Liam Walker,State Senate District 12
Bold Arizona Voices,Southwest AgriFund,108605.35,2024-12-10,Michael Walker,US House District 1
Sunrise Civic Action Fund,Red Rock Philanthropy,142852.17,2022-05-31,Emma Davis,State Treasurer
Grand Canyon Progress PAC,Frontier Manufacturing Co.,137983.74,2025-12-13,Ella Thompson,US House District 2
Citizens for Fair Elections,Canyon Ridge Investments,98721.21,2021-09-15,Logan Martinez,Maricopa County Supervisor District 2
Citizens for Fair Elections,Valley Healthcare Group,60260.49,2024-02-09,Jacob Wilson,State Senate District 12
Citizens for Fair Elections,Southwest AgriFund,26561.71,2022-08-30,Olivia Robinson,Phoenix City Council District 4
Arizona Families First,Desert Tech Partners,54431.33,2024-02-28,Olivia Martin,State Senate District 5
Keep AZ Moving Committee,Pioneer Energy Group,91542.67,2021-03-27,Elijah Rodriguez,State House District 20
Desert Sunrise Action,Mesa Community Trust,112335.92,2022-11-25,Evelyn Smith,State Senate District 5
Sunrise Civic Action Fund,Horizon Media Group,30667.71,2023-05-10,Harper Walker,US Senate
Sunrise Civic Action Fund,Pioneer Energy Group,33947.32,2020-12-12,Jacob Moore,Attorney General
Bold Arizona Voices,Copper Ridge Holdings,99754.75,2025-06-04,Abigail Davis,Phoenix City Council District 4
Keep AZ Moving Committee,Sunrise Ventures LLC,48273.81,2024-07-29,Abigail Garcia,Phoenix City Council District 4
Protect Arizona Values PAC,Red Rock Philanthropy,140435.11,2021-06-02,Emma Lee,Pima County Board District 3
Desert Shores Coalition,Horizon Media Group,136477.87,2022-05-25,Mia Martinez,State Treasurer
Clean Government Project,Valley Healthcare Group,21402.87,2020-12-07,Emma White,Maricopa County Supervisor District 2
Desert Sunrise Action,Copper Ridge Holdings,34481.06,2021-09-29,Harper Martin,Tucson City Council District 1
Protect Arizona Values PAC,Sunrise Ventures LLC,59711.26,2020-11-05,Benjamin Wilson,Pima County Board District 3
Arizona Workers Alliance,Mesa Community Trust,69211.28,2025-06-05,Sophia Lee,State House District 20
Arizona Families First,Frontier Manufacturing Co.,84840.79,2025-01-22,Logan Brown,Governor
Keep AZ Moving Committee,Copper Ridge Holdings,52102.0,2020-11-27,Abigail Taylor,State House District 20
Valley Voters Alliance,Southwest AgriFund,41306.07,2020-07-28,Liam Anderson,US House District 2
Citizens for Fair Elections,Frontier Manufacturing Co.,116473.03,2024-03-25,Ava Brown,US House District 1
Desert Sunrise Action,Frontier Manufacturing Co.,74281.5,2020-05-20,Mason Robinson,Maricopa County Supervisor District 2
Bold Arizona Voices,Desert Tech Partners,52096.46,2020-08-14,Lucas Lewis,Tucson City Council District 1
Protect Arizona Values PAC,Blue Sky Developers,68025.22,2024-06-12,Harper Jackson,State Senate District 12
Citizens for Fair Elections,Desert Tech Partners,41012.04,2022-04-22,Ella Johnson,Phoenix City Council District 4
Grand Canyon Progress PAC,Pioneer Energy Group,101993.14,2023-05-03,Emily Harris,Phoenix City Council District 4
Neighbors for Better Government,Sunrise Ventures LLC,22142.8,2024-10-02,Emily Hall,Maricopa County Supervisor District 2
Arizona Future Coalition,Saguaro Capital,133327.71,2021-06-25,Liam Martinez,US Senate
Keep AZ Moving Committee,Valley Healthcare Group,15244.27,2022-09-28,Liam Thomas,US Senate
Grand Canyon Progress PAC,Pioneer Energy Group,46748.03,2021-09-01,Emma Robinson,Governor
Citizens for Fair Elections,Sunrise Ventures LLC,82149.01,2024-01-21,Benjamin Lee,US House District 2
Arizona Workers Alliance,Desert Tech Partners,111099.75,2020-11-10,Liam Robinson,US House District 1
Bold Arizona Voices,Frontier Manufacturing Co.,18453.38,2024-08-10,Amelia Thompson,Phoenix City Council District 4
Sunrise Civic Action Fund,Pioneer Energy Group,80736.29,2020-12-18,Ava Wilson,Secretary of State
Neighbors for Better Government,Desert Orchard LLC,57211.25,2020-02-21,Mason Hall,State House District 20
Keep AZ Moving Committee,Desert Orchard LLC,46111.92,2025-06-14,Evelyn Walker,Maricopa County Supervisor District 2
Desert Shores Coalition,Gila River Foundation,3714.43,2021-06-14,Liam Johnson,US House District 1
Arizona Families First,Canyon Ridge Investments,117136.36,2025-04-25,Emily Garcia,Tucson City Council District 1
Bold Arizona Voices,Copper Ridge Holdings,36406.27,2024-02-04,Emma White,State House District 20
Clean Government Project,Frontier Manufacturing Co.,80086.66,2023-08-06,Abigail Lee,Governor
Arizona Families First,Valley Healthcare Group,79480.68,2020-11-27,Charlotte Smith,US House District 2
Arizona Workers Alliance,Sunrise Ventures LLC,113082.86,2022-12-20,Ella Clark,Attorney General
Arizona Workers Alliance,Red Rock Philanthropy,140227.33,2024-09-17,Logan Anderson,State Senate District 5
Vote Integrity Fund,Gila River Foundation,51781.54,2024-05-14,Jacob Jackson,US House District 1
Clean Government Project,Sunrise Ventures LLC,64310.97,2020-11-16,Elijah Harris,Pima County Board District 3
Sunrise Civic Action Fund,Gila River Foundation,121679.44,2025-08-14,Daniel Lee,State House District 20
Arizona Future Coalition,Pioneer Energy Group,36267.52,2023-12-22,Olivia White,State Treasurer
Desert Shores Coalition,Sunrise Ventures LLC,114795.63,2024-04-12,Daniel Jackson,US House District 1
Bold Arizona Voices,Frontier Manufacturing Co.,141008.36,2024-03-04,Benjamin Wilson,State House District 20
Valley Voters Alliance,Gila River Foundation,29540.68,2025-11-19,Charlotte Garcia,US House District 2
Keep AZ Moving Committee,Desert Orchard LLC,109483.43,2022-06-09,Liam Davis,State Senate District 5
Neighbors for Better Government,Red Rock Philanthropy,100165.73,2020-10-08,Emily Taylor,Attorney General
Grand Canyon Progress PAC,Canyon Ridge Investments,26592.34,2024-10-03,Amelia Jackson,State Treasurer
Sunrise Civic Action Fund,Desert Orchard LLC,142726.35,2021-03-28,Ava Taylor,US House District 2
Arizona Families First,Frontier Manufacturing Co.,102708.62,2021-12-14,Ethan Garcia,State House District 20
Neighbors for Better Government,Red Rock Philanthropy,44504.36,2022-07-17,Logan Davis,US Senate
Arizona Families First,Blue Sky Developers,63369.36,2024-08-29,Benjamin Hall,State House District 7
Grand Canyon Progress PAC,Gila River Foundation,47150.76,2024-05-06,Isabella Jackson,Governor
Vote Integrity Fund,Saguaro Capital,32663.48,2022-08-05,James Smith,Attorney General
Citizens for Fair Elections,Copper Ridge Holdings,73091.6,2022-07-22,Benjamin Wilson,State Senate District 5
Desert Shores Coalition,Desert Orchard LLC,114884.8,2022-01-11,Emily Martinez,US House District 2
Desert Sunrise Action,Valley Healthcare Group,17263.82,2021-11-17,Emily Rodriguez,State Treasurer
Keep AZ Moving Committee,Horizon Media Group,89846.94,2023-02-21,Amelia Thomas,Governor
Arizona Families First,Copper Ridge Holdings,56723.78,2021-08-17,Isabella Johnson,Attorney General
Vote Integrity Fund,Sunrise Ventures LLC,25758.25,2025-10-04,Benjamin Harris,US Senate
Protect Arizona Values PAC,Canyon Ridge Investments,29088.79,2020-12-24,Emma Thompson,State House District 20
Arizona Future Coalition,Sunrise Ventures LLC,115958.34,2024-06-28,Emily Clark,State House District 20
Neighbors for Better Government,Copper Ridge Holdings,101652.49,2025-11-23,James Thomas,Secretary of State
Vote Integrity Fund,Desert Orchard LLC,98511.29,2025-05-08,Daniel Thompson,State Treasurer
Bold Arizona Voices,Canyon Ridge Investments,93736.25,2020-08-20,Jacob Harris,Pima County Board District 3
Valley Voters Alliance,Valley Healthcare Group,73677.3,2021-03-28,Olivia Garcia,Attorney General
Grand Canyon Progress PAC,Saguaro Capital,148179.75,2023-12-28,Ethan Thomas,Secretary of State
Arizona Future Coalition,Desert Orchard LLC,80296.94,2021-02-21,Benjamin Rodriguez,US Senate
Bold Arizona Voices,Copper Ridge Holdings,31886.08,2023-07-07,Noah Martin,State House District 7
Desert Shores Coalition,Southwest AgriFund,30217.41,2021-01-20,Emma White,US House District 2
Protect Arizona Values PAC,Blue Sky Developers,67432.54,2021-12-30,Logan Moore,State House District 20
Desert Sunrise Action,Southwest AgriFund,62928.22,2023-06-03,Ethan Garcia,State Treasurer
Vote Integrity Fund,Pioneer Energy Group,76190.71,2020-12-29,James Robinson,US House District 2
Vote Integrity Fund,Southwest AgriFund,127978.6,2020-08-07,Sophia Thompson,Attorney General
Desert Shores Coalition,Saguaro Capital,17295.84,2022-04-28,Emily Johnson,US House District 1
Neighbors for Better Government,Southwest AgriFund,64046.23,2025-07-15,James Martinez,Governor
Valley Voters Alliance,Desert Tech Partners,25968.15,2024-05-12,Michael Walker,State Treasurer
Sunrise Civic Action Fund,Frontier Manufacturing Co.,138158.25,2022-09-18,Sophia White,Tucson City Council District 1
Arizona Families First,Gila River Foundation,40347.19,2020-05-30,Harper Thomas,Pima County Board District 3
Arizona Workers Alliance,Southwest AgriFund,90407.18,2020-08-18,Lucas Walker,Governor
Sunrise Civic Action Fund,Gila River Foundation,53749.26,2023-04-26,Elijah Rodriguez,Phoenix City Council District 4
Valley Voters Alliance,Saguaro Capital,33929.89,2024-09-20,Mia Thompson,State Treasurer
Bold Arizona Voices,Southwest AgriFund,89755.87,2021-05-21,Mason Lee,Secretary of State
Protect Arizona Values PAC,Gila River Foundation,32869.63,2021-09-23,Isabella Hall,Secretary of State
Protect Arizona Values PAC,Horizon Media Group,16099.75,2023-01-20,Ella Thomas,State Senate District 12
Arizona Families First,Southwest AgriFund,27842.35,2020-09-30,Emily Hall,Pima County Board District 3
Neighbors for Better Government,Desert Orchard LLC,130180.03,2022-01-05,Isabella Martin,Secretary of State
Bold Arizona Voices,Horizon Media Group,106073.6,2024-07-20,Emily Davis,US Senate
Arizona Workers Alliance,Copper Ridge Holdings,59425.95,2022-12-05,Emily Robinson,US Senate
Valley Voters Alliance,Canyon Ridge Investments,115940.92,2022-10-27,Sophia Hall,US Senate
Valley Voters Alliance,Desert Tech Partners,32839.8,2020-08-03,Mia Jackson,US Senate
Vote Integrity Fund,Desert Tech Partners,89772.92,2025-11-05,Ella Martin,Governor
Neighbors for Better Government,Desert Orchard LLC,7159.68,2024-10-21,Ella Rodriguez,State Senate District 12
Desert Sunrise Action,Red Rock Philanthropy,80872.3,2021-07-09,Logan Clark,State Senate District 5
Neighbors for Better Government,Canyon Ridge Investments,84469.9,2021-12-21,Daniel Johnson,Attorney General
Desert Sunrise Action,Sunrise Ventures LLC,116515.87,2022-02-09,James Lewis,State House District 20
Valley Voters Alliance,Red Rock Philanthropy,60218.9,2020-09-20,Noah White,State Treasurer
Arizona Families First,Horizon Media Group,70702.66,2024-10-22,Sophia Rodriguez,US House District 2
Keep AZ Moving Committee,Copper Ridge Holdings,18373.33,2022-07-16,Emily Brown,State House District 20
Desert Sunrise Action,Canyon Ridge Investments,46018.08,2021-12-04,Emily Davis,Governor
Neighbors for Better Government,Valley Healthcare Group,103329.73,2025-11-21,Isabella Garcia,Tucson City Council District 1
Bold Arizona Voices,Frontier Manufacturing Co.,121661.07,2020-09-08,Daniel Wilson,Secretary of State
Desert Shores Coalition,Red Rock Philanthropy,110094.57,2024-11-12,Mason Davis,Attorney General
Valley Voters Alliance,Canyon Ridge Investments,133761.12,2021-02-13,Ava Garcia,Attorney General
Neighbors for Better Government,Frontier Manufacturing Co.,25437.33,2023-01-13,Lucas Anderson,State Senate District 5
Protect Arizona Values PAC,Red Rock Philanthropy,104045.81,2022-09-29,Ava Davis,Phoenix City Council District 4
Arizona Workers Alliance,Southwest AgriFund,104731.57,2023-06-14,Logan Smith,State Treasurer
Keep AZ Moving Committee,Pioneer Energy Group,17922.8,2025-10-09,Emily Martinez,State Senate District 12
Desert Shores Coalition,Red Rock Philanthropy,148456.59,2020-02-03,Mia White,US Senate
Vote Integrity Fund,Frontier Manufacturing Co.,46512.16,2023-12-10,Lucas Garcia,Pima County Board District 3
Sunrise Civic Action Fund,Blue Sky Developers,9976.81,2022-02-27,Jacob Walker,Maricopa County Supervisor District 2
Keep AZ Moving Committee,Copper Ridge Holdings,20351.71,2023-08-23,Lucas Lewis,State Senate District 12
Arizona Families First,Red Rock Philanthropy,76408.49,2022-01-03,Jacob Johnson,Phoenix City Council District 4
Desert Shores Coalition,Southwest AgriFund,4317.41,2022-03-28,Michael Martinez,US Senate
Valley Voters Alliance,Pioneer Energy Group,27390.48,2021-12-19,Jacob Anderson,State Senate District 12
Citizens for Fair Elections,Red Rock Philanthropy,57489.1,2024-04-12,Mason Martin,US House District 1
Desert Shores Coalition,Blue Sky Developers,26197.04,2021-11-18,Ethan Rodriguez,Phoenix City Council District 4
Vote Integrity Fund,Mesa Community Trust,57712.57,2022-10-21,Mason Robinson,US House District 2
Arizona Families First,Southwest AgriFund,117419.72,2022-02-24,Abigail Robinson,US Senate
Vote Integrity Fund,Red Rock Philanthropy,117570.39,2023-06-05,Jacob Wilson,Governor
